Utterance,Interval,Call_ID,Sentiment_Score,Sentiment,BU,Intent_Cluster,Agent_Name
"Hello, our home alarm has been beeping every few minutes since last night. It’s getting disruptive.
Customer",0,100001,-0.9491132893742383,Negative,Accounts_and_Billing,Alarm Query,Alice Walker
"I see a red light blinking near the hallway sensor.
Customer",10,100001,-0.07339540446632431,Negative,Accounts_and_Billing,Alarm Query,Alice Walker
[],20,100001,,,Accounts_and_Billing,Alarm Query,Alice Walker
[],30,100001,,,Accounts_and_Billing,Alarm Query,Alice Walker
"Yes, our housekeeper dusted it yesterday.
Customer",40,100001,0.004735159994237736,Positive,Accounts_and_Billing,Alarm Query,Alice Walker
"Done. The red blink slowed down.
Customer",50,100001,-0.009300931480623942,Negative,Accounts_and_Billing,Alarm Query,Alice Walker
"Will the alarm still detect intrusions while the alert is hushed?
Customer",60,100001,-0.02326319019880513,Negative,Accounts_and_Billing,Alarm Query,Alice Walker
[],70,100001,,,Accounts_and_Billing,Alarm Query,Alice Walker
"Perfect. Please send me a confirmation.
Customer",80,100001,0.2863795520619333,Positive,Accounts_and_Billing,Alarm Query,Alice Walker
"Is the system firmware up to date?
Customer
Great. Thanks for explaining everything.
Customer",90,100001,0.9640368300066208,Positive,Accounts_and_Billing,Alarm Query,Alice Walker
[],100,100001,,,Accounts_and_Billing,Alarm Query,Alice Walker
[],110,100001,,,Accounts_and_Billing,Alarm Query,Alice Walker
[],120,100001,,,Accounts_and_Billing,Alarm Query,Alice Walker
"Hi, I’m unable to log in. The portal says my credentials are invalid.
Customer",0,100002,-0.8726283309222589,Negative,Accounts_and_Billing,Account Services,Alice Walker
"Yes, 98xxxxxx47.
Customer",10,100002,0.05354984735219118,Positive,Accounts_and_Billing,Account Services,Alice Walker
"I did, but the link expired before I used it.
Customer",20,100002,-0.6092176556312278,Negative,Accounts_and_Billing,Account Services,Alice Walker
"Please send it.
Customer",30,100002,0.000431950595607189,Positive,Accounts_and_Billing,Account Services,Alice Walker
"Got it. I’m clicking the link now.
Customer",40,100002,0.06875464642719176,Positive,Accounts_and_Billing,Account Services,Alice Walker
"Entered. I’m logged in successfully.
Customer",50,100002,0.9725437409260719,Positive,Accounts_and_Billing,Account Services,Alice Walker
"Will that help if I mistype again?
Customer",60,100002,-0.02913388240579806,Negative,Accounts_and_Billing,Account Services,Alice Walker
[],70,100002,,,Accounts_and_Billing,Account Services,Alice Walker
[],80,100002,,,Accounts_and_Billing,Account Services,Alice Walker
[],90,100002,,,Accounts_and_Billing,Account Services,Alice Walker
"Hello, I can’t access my account—keeps saying invalid credentials.
Customer",0,100003,-0.9130057767009694,Negative,Accounts_and_Billing,Account Services,Alice Walker
"Yes, yesterday. But the email link didn’t work today.
Customer",10,100003,-0.922943694419456,Negative,Accounts_and_Billing,Account Services,Alice Walker
"Please confirm the email subject so I can locate it.
Customer",20,100003,0.0001418529826682224,Positive,Accounts_and_Billing,Account Services,Alice Walker
"Found it. I’ll try now.
Customer
I entered the OTP. I’m in!
Customer",30,100003,0.0745999835344523,Positive,Accounts_and_Billing,Account Services,Alice Walker
"Yes, please enable 2FA app-based.
Customer",40,100003,0.554854292425369,Positive,Accounts_and_Billing,Account Services,Alice Walker
[],50,100003,,,Accounts_and_Billing,Account Services,Alice Walker
[],60,100003,,,Accounts_and_Billing,Account Services,Alice Walker
[],70,100003,,,Accounts_and_Billing,Account Services,Alice Walker
[],0,100004,,,Accounts_and_Billing,Account Services,Alice Walker
"Is there a fair usage policy after 500 GB?
Customer",10,100004,-0.005823388094934739,Negative,Accounts_and_Billing,Account Services,Alice Walker
"What add-ons are available?
Customer",20,100004,0.0003008942649658786,Positive,Accounts_and_Billing,Account Services,Alice Walker
"Thanks. I may upgrade to Fiber 1G. Any prerequisites?
Customer",30,100004,0.9281669880895678,Positive,Accounts_and_Billing,Account Services,Alice Walker
[],40,100004,,,Accounts_and_Billing,Account Services,Alice Walker
[],50,100004,,,Accounts_and_Billing,Account Services,Alice Walker
[],60,100004,,,Accounts_and_Billing,Account Services,Alice Walker
"Hi, what’s my current plan and renewal date?
Customer
Do I have any add-ons like static IP or parental controls?
Customer",0,100005,-0.0003237408123409335,Negative,Accounts_and_Billing,Account Services,Alice Walker
[],10,100005,,,Accounts_and_Billing,Account Services,Alice Walker
[],20,100005,,,Accounts_and_Billing,Account Services,Alice Walker
[],30,100005,,,Accounts_and_Billing,Account Services,Alice Walker
[],40,100005,,,Accounts_and_Billing,Account Services,Alice Walker
"I need to update my email to verma.new@domain.com and phone to 98xxxxxx47.
Customer",0,100006,0.0005394363972488492,Positive,Accounts_and_Billing,Account Services,Alice Walker
"I received it. The OTP is 624381.
Customer",10,100006,0.002329475424665731,Positive,Accounts_and_Billing,Account Services,Alice Walker
"Please set preferences to transactional emails only.
Customer
Will I get a confirmation?
Customer",20,100006,-0.000720252130139154,Negative,Accounts_and_Billing,Account Services,Alice Walker
[],30,100006,,,Accounts_and_Billing,Account Services,Alice Walker
[],40,100006,,,Accounts_and_Billing,Account Services,Alice Walker
[],50,100006,,,Accounts_and_Billing,Account Services,Alice Walker
"I was charged twice this month. I need a refund.
Customer",0,100007,-0.9192286406509328,Negative,Accounts_and_Billing,Billing,Rose Cooper
"Please reverse them ASAP.
Customer",10,100007,-0.7119107457060436,Negative,Accounts_and_Billing,Billing,Rose Cooper
"Send me confirmation.
Customer",20,100007,4.323361126656877e-05,Positive,Accounts_and_Billing,Billing,Rose Cooper
"Will my invoice be corrected?
Customer",30,100007,-0.01563092951487949,Negative,Accounts_and_Billing,Billing,Rose Cooper
[],40,100007,,,Accounts_and_Billing,Billing,Rose Cooper
[],50,100007,,,Accounts_and_Billing,Billing,Rose Cooper
"My invoice shows a late fee, but I paid on time.
Customer",0,100008,0.01964475657513454,Positive,Accounts_and_Billing,Billing,Rose Cooper
"Please remove the fee.
Customer",10,100008,-0.7913886776777065,Negative,Accounts_and_Billing,Billing,Rose Cooper
"Send me the revision.
Customer",20,100008,3.3145177941174e-05,Positive,Accounts_and_Billing,Billing,Rose Cooper
[],30,100008,,,Accounts_and_Billing,Billing,Rose Cooper
[],40,100008,,,Accounts_and_Billing,Billing,Rose Cooper
[],50,100008,,,Accounts_and_Billing,Billing,Rose Cooper
[],0,100009,,,Accounts_and_Billing,Billing,Rose Cooper
"What’s the corrected amount?
Customer",10,100009,-0.008349345764701588,Negative,Accounts_and_Billing,Billing,Rose Cooper
"When will the extra amount be refunded?
Customer",20,100009,-0.02259373572757756,Negative,Accounts_and_Billing,Billing,Rose Cooper
[],30,100009,,,Accounts_and_Billing,Billing,Rose Cooper
[],40,100009,,,Accounts_and_Billing,Billing,Rose Cooper
[],50,100009,,,Accounts_and_Billing,Billing,Rose Cooper
"I was told a refund would arrive in 3–5 days, but I haven’t received it yet.
Customer",0,100010,-0.9145505840356152,Negative,Accounts_and_Billing,Billing,Rose Cooper
"Can you send confirmation?
Customer",10,100010,1.553903325690609e-05,Positive,Accounts_and_Billing,Billing,Rose Cooper
"Okay, I’ll wait a couple of days.
Customer",20,100010,0.0001022955197249598,Positive,Accounts_and_Billing,Billing,Rose Cooper
[],30,100010,,,Accounts_and_Billing,Billing,Rose Cooper
[],40,100010,,,Accounts_and_Billing,Billing,Rose Cooper
[],50,100010,,,Accounts_and_Billing,Billing,Rose Cooper
"I think the auto-pay double charged me. Can we change my payment method?
Customer",0,100011,-0.853523599215884,Negative,Accounts_and_Billing,Billing,Rose Cooper
"Please disable auto-pay and switch to manual payments.
Customer
How long for the refund?
Customer",10,100011,-0.3697270577644542,Negative,Accounts_and_Billing,Billing,Rose Cooper
[],20,100011,,,Accounts_and_Billing,Billing,Rose Cooper
[],30,100011,,,Accounts_and_Billing,Billing,Rose Cooper
[],40,100011,,,Accounts_and_Billing,Billing,Rose Cooper
"I need international roaming for 10 days starting 05 Jan 2026.
Customer",0,100012,0.0002247119551027632,Positive,Accounts_and_Billing,Account Services,Rose Cooper
"Please add a spend alert at ₹2000 and a hard cap at ₹4000.
Customer",10,100012,-0.0002539059517961406,Negative,Accounts_and_Billing,Account Services,Rose Cooper
[],20,100012,,,Accounts_and_Billing,Account Services,Rose Cooper
[],30,100012,,,Accounts_and_Billing,Account Services,Rose Cooper
[],40,100012,,,Accounts_and_Billing,Account Services,Rose Cooper
"I want the streaming bundle added to my plan.
Customer",0,100013,0.05152543589445227,Positive,Accounts_and_Billing,Account Services,Rose Cooper
"Please confirm the add-on name and price.
Customer
Proceed. Also, send me an email confirmation.
Customer",10,100013,0.0002554913477031961,Positive,Accounts_and_Billing,Account Services,Rose Cooper
[],20,100013,,,Accounts_and_Billing,Account Services,Rose Cooper
[],30,100013,,,Accounts_and_Billing,Account Services,Rose Cooper
[],40,100013,,,Accounts_and_Billing,Account Services,Rose Cooper
"The app crashes whenever I open Settings.
Customer
v3.1.0.
Customer",0,100014,-0.9284715288910143,Negative,Accounts_and_Billing,App Services,Alice Walker
"Updating now… Done. Testing Settings.
Customer",10,100014,0.0002910094370898175,Positive,Accounts_and_Billing,App Services,Alice Walker
"Cleared and enabled. Settings opens quickly now.
Customer",20,100014,0.05978360947803363,Positive,Accounts_and_Billing,App Services,Alice Walker
[],30,100014,,,Accounts_and_Billing,App Services,Alice Walker
[],40,100014,,,Accounts_and_Billing,App Services,Alice Walker
[],50,100014,,,Accounts_and_Billing,App Services,Alice Walker
"I don’t receive push notifications from your app.
Customer",0,100015,-0.920543100551572,Negative,Accounts_and_Billing,App Services,Alice Walker
"Notifications were off; battery saver was on.
Customer",10,100015,-0.0001706821135121217,Negative,Accounts_and_Billing,App Services,Alice Walker
[],20,100015,,,Accounts_and_Billing,App Services,Alice Walker
[],30,100015,,,Accounts_and_Billing,App Services,Alice Walker
[],40,100015,,,Accounts_and_Billing,App Services,Alice Walker
[],0,100016,,,Accounts_and_Billing,App Services,Alice Walker
"I’m on v3.2.0. I’ll update.
Customer",10,100016,0.0003205599459689401,Positive,Accounts_and_Billing,App Services,Alice Walker
[],20,100016,,,Accounts_and_Billing,App Services,Alice Walker
[],30,100016,,,Accounts_and_Billing,App Services,Alice Walker
[],40,100016,,,Accounts_and_Billing,App Services,Alice Walker
"I want to cancel my subscription. Outages have been frequent.
Customer",0,100017,-0.9601032053186357,Negative,Accounts_and_Billing,Account Services,Alice Walker
